연도,대회명,라운드,날짜,상대팀,스코어,득점자,도움자,MOM,매치데이,비고
2025,추계대회,조별리그,2025-07-05,목포과학대,3:00,"김장우(2), 김건우",,김장우,양한울,MVP-이민재
2025,추계대회,조별리그,2025-07-07,연성대,5:00,"김건우(3), 양한울, 신중건",,김건우,신중건,MVP-탁하도
2025,추계대회,16강,2025-07-11,광주대,1:00,김장우,,이승훈,-,MVP-김장우
2025,추계대회,8강,2025-07-13,호남대,0:01,-,,-,-,-
2025,저학년대회,조별리그,2025-08-18,배재대,2:01,현대호,,현대호,염정강,MVP-박건희
2025,저학년대회,조별리그,2025-08-20,동원대,2:00,"조우영, 김건우",,조우영,김도윤,MVP-조우영
2025,저학년대회,조별리그,2025-08-22,청운대,4:00,"전지환, 신승현, 김도윤, 현대호",,전지환,김근태,MVP-안용윤
2025,저학년대회,16강,2025-08-24,전주대,2:04,"현대호, 신승현",,-,-,-
2025,U리그,7라운드,2025-09-05,호원대,0:02,-,,-,신승현,-
2025,U리그,8라운드,2025-09-12,홍익대,2:01,현대호(2),,현대호,김동현,
2025,U리그,9라운드,2025-10-24,중앙대,1:01,염정강,,염정강,국민재,
2025,U리그,10라운드,2025-10-31,고려대,0:02,-,,-,현대호,-
